1, 987, 13652, 4918.133333, 37.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
2, 987, 13652, 5493.877778, 44.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
3, 1597, 19441, 5933.344444, 47.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4, 1597, 20229, 6411.552778, 51.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5, 1597, 20652, 6935.124444, 55.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
6, 1597, 23971, 7360.550000, 58.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
7, 2584, 36383, 7787.250794, 61.59%, 0.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8, 2584, 36383, 8056.595833, 63.33%, 0.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
9, 2584, 36383, 8314.014815, 65.31%, 0.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
10, 2584, 36383, 8663.817778, 67.56%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
11, 1597, 24707, 10605.788889, 78.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
12, 1597, 24707, 11431.000000, 82.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13978, 5107.611111, 38.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
2, 1597, 20278, 5712.800000, 41.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
3, 1597, 20278, 6130.870370, 47.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4, 1597, 20278, 6576.952778, 50.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5, 1597, 23558, 7061.762222, 54.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
6, 1597, 23558, 7589.972222, 59.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
7, 1597, 24202, 7911.822222, 61.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8, 2584, 32858, 8335.104167, 63.89%, 0.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
9, 2584, 32858, 8670.140741, 65.56%, 0.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
10, 2584, 32858, 8953.136667, 67.22%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
11, 2584, 35388, 12654.377778, 84.44%, 2.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 6765, 98028, 32095.000000, 93.33%, 53.33%, 3.33%, 0.00%, 0.00%, 0.00%, 0.00%
1, 987, 13642, 4436.500000, 24.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
