1, 987, 12841, 2383.614444, 4.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
2, 987, 13433, 3509.221111, 15.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
3, 1597, 20959, 4334.621852, 25.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4, 1597, 20959, 5053.432500, 34.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5, 1597, 22298, 5659.673111, 41.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
6, 1597, 23973, 6200.739074, 47.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
7, 1597, 24215, 6631.292063, 51.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8, 2584, 31309, 7014.853889, 55.31%, 0.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
9, 2584, 31309, 7378.156790, 58.26%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
10, 2584, 31309, 7700.939778, 60.81%, 0.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 2584, 39485, 8791.560000, 67.22%, 0.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 2584, 34924, 9046.255556, 68.56%, 0.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
2, 2584, 37047, 11231.424444, 78.06%, 0.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
3, 2584, 41796, 12520.891852, 82.22%, 2.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
4, 4181, 52748, 13973.487500, 85.39%, 4.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
5, 4181, 55641, 15044.431556, 87.16%, 6.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
6, 4181, 61093, 16091.070741, 88.69%, 8.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
7, 4181, 68611, 17026.400476, 89.83%, 10.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
8, 4181, 68611, 17889.731111, 90.93%, 12.40%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
9, 4181, 68611, 18698.461605, 91.78%, 14.30%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
